"Client","Application","Version","Environment","DeploymentStatus","DeploymentStartDateTime","DeploymentEndDateTime","TriggeredBy","ActionRunUrl"
"BAIN","Recon","2.26.0629.605","UAT","Succeeded","2026-07-02 17:34:54 UTC","2026-07-02 17:47:25 UTC","github-actions[bot]","https://github.com/LD-Global-Services/Deployment/actions/runs/28609568259"
"KLIM","Recon","2.26.0629.605","UAT","Succeeded","2026-07-01 19:35:20 UTC","2026-07-01 19:35:20 UTC","ajoshi-lds","https://github.com/LD-Global-Services/Deployment/actions/runs/28542000102"
"MASH","Recon","2.26.0629.605","UAT","Approval Pending","2026-07-07 06:35:24 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28846633833"
"MASH","Recon","2.26.0629.605","UAT","Approved","2026-07-07 06:37:34 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28846633833"
"MASH","Recon","2.26.0629.605","UAT","Approval Pending","2026-07-07 06:44:29 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28847050467"
"MASH","Recon","2.26.0629.605","UAT","Approved","2026-07-07 06:45:31 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28847050467"
"MASH","Recon","2.26.0629.605","UAT","Approval Pending","2026-07-07 06:55:08 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28847556154"
"MASH","Recon","2.26.0629.605","UAT","Approval Pending","2026-07-07 07:47:34 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28850256202"
"MASH","Recon","2.26.0629.605","UAT","Approval Pending","2026-07-07 08:33:12 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28852769413"
"MASH","Recon","2.26.0629.605","UAT","Approval Pending","2026-07-07 08:40:57 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28853214978"
"MASH","Recon","2.26.0629.605","UAT","Approval Pending","2026-07-07 08:52:24 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28853863128"
"MASH","Recon","2.26.0629.605","UAT","Approved","2026-07-07 08:54:51 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28853863128"
"MASH","Recon","2.26.0629.605","UAT","Approval Pending","2026-07-07 09:11:06 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28854950770"
"MASH","Recon","2.26.0629.605","UAT","Approved","2026-07-07 09:13:18 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28854950770"
"KLIM","Recon","2.26.0706.613","UAT","Succeeded","2026-07-07 14:23:24 UTC","2026-07-07 14:57:40 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28873644891"
"KLIM","Recon","2.26.0706.613","UAT","Approved","2026-07-07 12:56:59 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28867465489"
"KLIM","Recon","2.26.0706.613","UAT","Approval Pending","2026-07-07 14:21:31 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28873533189"
"KLIM","Recon","2.26.0706.613","UAT","Approved","2026-07-07 14:22:54 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28873533189"
"DKCM","Recon","2.26.0706.613","UAT","Succeeded","2026-07-07 15:42:41 UTC","2026-07-07 16:20:33 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28879121750"
"DKCM","Recon","2.26.0706.613","UAT","Approval Pending","2026-07-07 15:13:22 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28877142649"
"DKCM","Recon","2.26.0706.613","UAT","Approved","2026-07-07 15:14:18 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28877142649"
"DKCM","Recon","2.26.0706.613","UAT","Approval Pending","2026-07-07 15:40:39 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28879007847"
"MASH","Tools","2.26.0703.45","UAT","Succeeded","2026-07-07 15:43:39 UTC","2026-07-07 16:15:43 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28879187790"
"DKCM","Recon","2.26.0706.613","UAT","Approved","2026-07-07 15:42:14 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28879007847"
"MASH","Tools","2.26.0703.45","UAT","Approved","2026-07-07 15:43:14 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28879088222"
"KLIM","Tools","2.26.0703.45","UAT","Succeeded","2026-07-07 17:01:33 UTC","2026-07-07 17:11:31 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28884100949"
"KLIM","Tools","2.26.0703.45","UAT","Approved","2026-07-07 16:24:01 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28881739064"
"KLIM","Tools","2.26.0703.45","UAT","Approval Pending","2026-07-07 16:42:38 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28882954152"
"KLIM","Tools","2.26.0703.45","UAT","Approved","2026-07-07 16:44:14 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28882954152"
"DKCM","Tools","2.26.0703.45","UAT","Succeeded","2026-07-07 16:49:31 UTC","2026-07-07 16:58:18 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28883352290"
"DKCM","Tools","2.26.0703.45","UAT","Approved","2026-07-07 16:49:06 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28883296624"
"KLIM","Tools","2.26.0703.45","UAT","Approval Pending","2026-07-07 17:00:04 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28884023732"
"KLIM","Tools","2.26.0703.45","UAT","Approved","2026-07-07 17:01:04 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28884023732"
"BAIN","Tools","2.26.0703.45","UAT","Succeeded","2026-07-07 17:16:59 UTC","2026-07-07 17:26:30 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28885038211"
"BAIN","Tools","2.26.0703.45","UAT","Approved","2026-07-07 17:16:33 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28884881285"
"BAIN","Recon","2.26.0706.613","UAT","Succeeded","2026-07-07 19:32:45 UTC","2026-07-07 20:02:06 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28893098088"
"BAIN","Recon","2.26.0706.613","UAT","Approved","2026-07-07 19:32:16 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/28893026071"
